Category,"Hist. Ref. Per., 1950-2014",SSP1-1.9,SSP1-2.6,SSP2-4.5,SSP3-7.0,SSP5-8.5,"Hist. Ref. Per., 1950-2014.1",SSP1-1.9.1,SSP1-2.6.1,SSP2-4.5.1,SSP3-7.0.1,SSP5-8.5.1,Unnamed: 13,SSP1-1.9_HeatIndex,SSP1-2.6_HeatIndex,SSP2-4.5_HeatIndex,SSP3-7.0_HeatIndex,SSP5-8.5_HeatIndex
1990,60.55,,,,,,24.26,,,,,,,,,,,
1991,60.4,,,,,,24.29,,,,,,,,,,,
1992,60.59,,,,,,23.88,,,,,,,,,,,
1993,60.63,,,,,,24.01,,,,,,,,,,,
1994,60.57,,,,,,24.12,,,,,,,,,,,
1995,60.66,,,,,,24.25,,,,,,,,,,,
1996,60.65,,,,,,24.16,,,,,,,,,,,
1997,60.91,,,,,,24.32,,,,,,,,,,,
1998,61.31,,,,,,24.28,,,,,,,,,,,
1999,61.05,,,,,,24.37,,,,,,,,,,,
2000,60.62,,,,,,24.38,,,,,,,,,,,
2001,60.98,,,,,,24.5,,,,,,,,,,,
2002,61.2,,,,,,24.51,,,,,,,,,,,
2003,61.76,,,,,,24.4,,,,,,,,,,,
2004,61.4,,,,,,24.52,,,,,,,,,,,
2005,60.78,,,,,,24.53,,,,,,,,,,,
2006,61.42,,,,,,24.42,,,,,,,,,,,
2007,61.67,,,,,,24.43,,,,,,,,,,,
2008,61.88,,,,,,24.4,,,,,,,,,,,
2009,61.12,,,,,,24.5,,,,,,,,,,,
2010,60.85,,,,,,24.58,,,,,,,,,,,
2011,61.31,,,,,,24.63,,,,,,,,,,,
2012,61.4,,,,,,24.67,,,,,,,,,,,
2013,61.74,,,,,,24.62,,,,,,,,,,,
2066,,61.58,61.35,62.05,62.35,62.16,,77.45,78.242,78.926,79.25,80.636,,79.1995306706522,79.96785606541644,80.74630855006518,81.1445117267767,82.87883214368156
2067,,61.7,61.73,62.38,62.44,62.33,,77.468,78.458,78.69200000000001,79.574,80.744,,79.21884373520162,80.21245042630535,80.50508061417479,81.5431090739103,83.04891109203906
2068,,61.7,61.53,61.85,63.36,62.52,,77.432,78.29599999999999,78.962,79.61,80.69,,79.18503921281962,80.03205928735036,80.7728294939472,81.67600841618825,83.00138947908792
2069,,61.55,61.16,61.68,63.19,62.03,,77.432,78.25999999999999,79.142,79.55600000000001,80.924,,79.18213563821774,79.9773326782849,80.96495101793741,81.5916821107367,83.25323622722502
2070,,61.66,61.84,62.29,62.82,61.63,,77.36,78.116,78.746,79.574,81.338,,79.11723049024141,79.86042745280378,80.55975386385364,81.57910215386892,83.76961877879049
2071,,61.53,61.08,62.14,62.44,62.33,,77.396,78.116,78.98,79.988,81.374,,79.14830028672368,79.82830314346609,80.81417578760257,82.06193360872328,83.93565370517933
2072,,61.49,61.26,61.7,62.18,62.42,,77.342,78.134,79.10600000000001,79.88,81.176,,79.0977651573935,79.85407324592575,80.92530826411709,81.89696616221501,83.66582131722362
2073,,61.56,61.78,61.81,62.62,61.68,,77.378,78.224,79.358,79.88,81.59,,79.13216837001704,79.96916390974233,81.22654387311094,81.94366917851653,84.13836115588165
2074,,61.52,61.53,61.71,62.88,61.56,,77.36,78.368,79.214,79.916,81.68,,79.11484160502698,80.10704530406701,81.05020762045598,82.01762733736692,84.24795210159249
2075,,61.58,61.42,62.43,63.0,61.52,,77.342,78.242,79.214,80.222,81.734,,79.09925582637571,79.97111718863802,81.10845728567297,82.43172632823239,84.31946576955352
2076,,61.55,61.55,61.43,63.42,61.92,,77.30600000000001,78.17,79.142,80.024,82.02199999999999,,79.06568801661152,79.90324235359651,80.94543843664123,82.21821271328142,84.82048369029181
2077,,61.46,61.33,61.55,62.53,62.05,,77.288,78.17,79.376,80.168,81.824,,79.04787359253623,79.89353798323239,81.22523982283921,82.30471671527373,84.54776836027946
2078,,61.56,61.78,62.05,62.4,62.02,,77.288,78.278,79.34,80.456,81.734,,79.04935926237428,80.02533084463565,81.22587861727348,82.66893239035446,84.40872582927966
2079,,61.58,61.96,61.62,62.98,61.89,,77.27,78.188,79.34,80.366,82.184,,79.0332001411189,79.93992151976573,81.18916306077051,82.62202728310685,85.06073329329172
2080,,61.51,61.6,61.46,63.08,61.8,,77.252,78.008,79.55600000000001,80.456,82.274,,79.01583068408445,79.74116182689474,81.42945888723679,82.75675702893787,85.18066087317862
2081,,61.5,61.51,61.68,62.79,61.9,,77.234,78.08,79.55600000000001,80.528,82.256,,78.99936505933482,79.8100902086068,81.44994400442572,82.81679117005388,85.1731026309818
2082,,61.44,61.38,61.82,61.94,62.17,,77.252,78.332,79.322,80.744,82.49000000000001,,79.01486792239822,80.06202943744131,81.18508646739753,82.99454407790815,85.59334846744432
2083,,61.48,61.3,61.69,63.08,62.08,,77.27,78.29599999999999,79.646,80.69,82.922,,79.03177569577494,80.02092468848488,81.55912689396101,83.07903029871119,86.26588711537087
2084,,61.38,60.98,61.37,62.83,61.83,,77.252,78.17,79.736,80.834,82.814,,79.01403637086295,79.87803692372776,81.63646061386484,83.24456395598696,86.03456722765019
2085,,61.39,60.77,61.64,62.92,62.24,,77.252,78.242,79.736,80.798,82.868,,79.01417536837758,79.94073232222306,81.66337880797337,83.20713779983407,86.21470461779326
2086,,61.48,61.52,61.87,62.41,62.05,,77.27,78.332,79.538,81.19399999999999,83.3,,79.03177569577494,80.06897701929489,81.44601892344572,83.68992223195698,86.88253365312241
