Category,"Hist. Ref. Per., 1950-2014",Historical 10-90th Percentile Range (low),Historical 10-90th Percentile Range (high),SSP1-1.9,SSP1-1.9 10-90th Percentile Range (low),SSP1-1.9 10-90th Percentile Range (high),SSP1-2.6,SSP1-2.6 10-90th Percentile Range (low),SSP1-2.6 10-90th Percentile Range (high),SSP2-4.5,SSP2-4.5 10-90th Percentile Range (low),SSP2-4.5 10-90th Percentile Range (high),SSP3-7.0,SSP3-7.0 10-90th Percentile Range (low),SSP3-7.0 10-90th Percentile Range (high),SSP5-8.5,SSP5-8.5 10-90th Percentile Range (low),SSP5-8.5 10-90th Percentile Range (high)
1991,77.80387442417491,77.29110829802417,78.48520694769319,,,,,,,,,,,,,,,
1992,77.31821535513296,77.00243672765654,77.7577421905191,,,,,,,,,,,,,,,
1993,77.46152363882632,77.10893722682727,77.95550720128436,,,,,,,,,,,,,,,
1994,77.59198156120195,77.16070088634058,78.04729357935449,,,,,,,,,,,,,,,
1995,77.74621344257514,77.16447423597126,78.28715354343964,,,,,,,,,,,,,,,
1996,77.63668466767646,77.32089012021498,78.13597250763992,,,,,,,,,,,,,,,
1997,77.82655412974728,77.36845786510679,78.36229607123543,,,,,,,,,,,,,,,
1998,77.76273993979643,77.42766415102773,78.40180240482302,,,,,,,,,,,,,,,
1999,77.88716128680902,77.23341617097753,78.56028998512667,,,,,,,,,,,,,,,
2000,77.91158088147407,77.410518168267,78.39947146058742,,,,,,,,,,,,,,,
2001,78.06168908267783,77.58619553170405,78.7307488505979,,,,,,,,,,,,,,,
2002,78.07076991589838,77.45066172248401,78.68006023411601,,,,,,,,,,,,,,,
2003,77.9072740525465,77.47497117355309,78.4268610384469,,,,,,,,,,,,,,,
2004,78.08040018421366,77.52195037062421,78.73018668954566,,,,,,,,,,,,,,,
2005,78.10619912136637,77.51132822623995,78.83208424902264,,,,,,,,,,,,,,,
2006,77.94350234859206,77.33483006926613,78.78170636774212,,,,,,,,,,,,,,,
2007,77.95049063048835,77.31736291895095,78.64189133143617,,,,,,,,,,,,,,,
2008,77.90386891611244,77.2909123190017,78.51086095555706,,,,,,,,,,,,,,,
2009,78.05878526945912,77.47539434349233,78.71310470624036,,,,,,,,,,,,,,,
2010,78.17330689376752,77.54535090851353,78.9860220653714,,,,,,,,,,,,,,,
2011,78.23630267752029,77.59785839892342,79.00703371678247,,,,,,,,,,,,,,,
2012,78.29238961495851,77.63530621549047,79.04519567131948,,,,,,,,,,,,,,,
2013,78.21539177952792,77.56523402240519,78.9219357267744,,,,,,,,,,,,,,,
2064,,,,79.23559539781398,78.31422878645873,80.65954213866806,79.97670145593182,78.46243179706823,82.30065993608471,80.546320506459,79.1050164790363,83.1039920982131,81.16924833083917,79.04509784427793,84.68446455359063,82.76409598082606,80.43370450123498,87.06420037427881
2065,,,,79.13287490054765,78.22286739252064,80.5170368228371,79.66194508458736,78.42286013145238,81.86864333033176,80.68556578532588,79.11913657133962,83.49166306476712,81.14693921422551,78.71200100630341,84.82795492999983,82.26720946378711,79.9929088497426,86.19698058626167
2066,,,,79.1995306706522,78.30018722258757,80.59866807940922,79.96785606541644,78.54415137459458,82.31203004203005,80.74630855006518,79.38234056700892,83.22530020000546,81.1445117267767,78.89326457982466,85.20731454658392,82.87883214368156,80.43692809234916,87.5960847923045
2067,,,,79.21884373520162,78.31260103716224,80.6054803640433,80.21245042630535,78.68178995732339,82.25992884234184,80.50508061417479,79.13382330524472,83.78150202489775,81.5431090739103,79.28404988998054,85.44063513872999,83.04891109203906,80.56924096907511,87.94348424070688
2068,,,,79.18503921281962,78.28742523533384,80.45095535526119,80.03205928735036,78.52852010672277,81.89336784083947,80.7728294939472,79.06193810378335,83.98017240202417,81.67600841618825,79.7698269453065,84.7602182939342,83.00138947908792,80.19948584974256,87.65104672136795
2069,,,,79.18213563821774,78.28686469608624,80.53201137894223,79.9773326782849,78.44906711123997,82.247396972769,80.96495101793741,79.18700879845954,83.73251677757784,81.5916821107367,79.48842775870679,85.62729648214665,83.25323622722502,80.82415645180225,88.34374960340608
2070,,,,79.11723049024141,78.29957350730494,80.4648087532824,79.86042745280378,78.40947292859043,82.6972035108936,80.55975386385364,79.24999571679487,83.46820022599815,81.57910215386892,79.61668791823047,85.35119568491979,83.76961877879049,81.32855313076277,87.81292114886824
2071,,,,79.14830028672368,78.23486173659673,80.4908423410971,79.82830314346609,78.20436693629821,82.26872328193906,80.81417578760257,79.24354411199342,84.02550852942102,82.06193360872328,79.60645735964574,85.72778098120875,83.93565370517933,80.92238238670853,89.52107269767274
2072,,,,79.0977651573935,78.23395568361505,80.31689816833827,79.85407324592575,78.35735256961465,81.79474958113985,80.92530826411709,79.38234056700892,83.43602898550523,81.89696616221501,79.6213763230777,85.76469036994897,83.66582131722362,80.5129203935291,88.95630101576165
2073,,,,79.13216837001704,78.30033808369284,80.37498899976137,79.96916390974233,78.61201019741364,82.4489668959926,81.22654387311094,79.5148581305314,83.48016366647379,81.94366917851653,79.67693150910092,86.011710756237,84.13836115588165,81.02570464604003,89.17547731095378
